Source path,Class name,Method name,Smell type,Severity,Evidence
src/main/java/org/ministry/magic/WizardRegistryApplication.java,org.ministry.magic.WizardRegistryApplication,initialize,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=0"
src/main/java/org/ministry/magic/WizardRegistryApplication.java,org.ministry.magic.WizardRegistryApplication,run,FEATURE_ENVY,CRITICAL,"foreign accesses=33, own accesses=0"
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,,DATA_CLASS,MEDIUM,"fields=8, getter/setter ratio=100%, behavioral methods=0"
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,,DATA_CLASS,LOW,"fields=4, getter/setter ratio=100%, behavioral methods=0"
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,,DATA_CLASS,HIGH,"fields=12, getter/setter ratio=92%, behavioral methods=1"
src/main/java/org/ministry/magic/core/Wizard.java,org.ministry.magic.core.Wizard,,DATA_CLASS,HIGH,"fields=12, getter/setter ratio=92%, behavioral methods=2"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,countByStatus,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=1"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,findByHouse,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=2"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,findById,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,findByStatus,FEATURE_ENVY,LOW,"foreign accesses=6, own accesses=2"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,insert,FEATURE_ENVY,CRITICAL,"foreign accesses=42, own accesses=1"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,searchByName,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,update,FEATURE_ENVY,HIGH,"foreign accesses=23, own accesses=1"
src/main/java/org/ministry/magic/db/WizardDAO.java,org.ministry.magic.db.WizardDAO,updateStatus,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=1"
