Source path,Owner class FQN,Field name,Serialized name,Serialized name source,Type FQN,Type resolution,Is collection,Is map,Is optional,Format,Required,Validations JSON,Example value
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,firstName,firstName,java-name,java.lang.String,resolved,false,false,false,,true,{"NotBlank":{}},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,lastName,lastName,java-name,java.lang.String,resolved,false,false,false,,true,{"NotBlank":{}},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,dateOfBirth,dateOfBirth,java-name,java.time.LocalDate,resolved,false,false,false,date,true,"{""NotNull"":{},""Past"":{}}",
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,house,house,java-name,org.ministry.magic.core.House,resolved,false,false,false,,true,{"NotNull":{}},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,patronus,patronus,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,wandWood,wandWood,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,wandCore,wandCore,java-name,org.ministry.magic.core.WandCore,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,wandLengthInches,wandLengthInches,java-name,java.lang.Double,resolved,false,false,false,double,false,{},
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,patronus,patronus,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,wandWood,wandWood,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,wandCore,wandCore,java-name,org.ministry.magic.core.WandCore,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,wandLengthInches,wandLengthInches,java-name,java.lang.Double,resolved,false,false,false,double,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,id,id,java-name,java.util.UUID,resolved,false,false,false,uuid,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,firstName,firstName,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,lastName,lastName,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,dateOfBirth,dateOfBirth,java-name,java.time.LocalDate,resolved,false,false,false,date,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,house,house,java-name,org.ministry.magic.core.House,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,patronus,patronus,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,wandWood,wandWood,java-name,java.lang.String,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,wandCore,wandCore,java-name,org.ministry.magic.core.WandCore,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,wandLengthInches,wandLengthInches,java-name,java.lang.Double,resolved,false,false,false,double,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,status,status,java-name,org.ministry.magic.core.RegistrationStatus,resolved,false,false,false,,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,registeredAt,registeredAt,java-name,java.time.Instant,resolved,false,false,false,date-time,false,{},
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,updatedAt,updatedAt,java-name,java.time.Instant,resolved,false,false,false,date-time,false,{},
