Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
src/test/java/org/ministry/magic/WizardRegistryConfigurationTest.java,org.ministry.magic.WizardRegistryConfigurationTest,canDeserializeFromYaml,throws-declaration,"IOException, ConfigurationException",propagate,,
src/main/java/org/ministry/magic/managed/WizardRegistryManaged.java,org.ministry.magic.managed.WizardRegistryManaged,start,throws-declaration,Exception,propagate,,
src/main/java/org/ministry/magic/managed/WizardRegistryManaged.java,org.ministry.magic.managed.WizardRegistryManaged,stop,throws-declaration,Exception,propagate,,
src/main/java/org/ministry/magic/servlet/MinistryStatusServlet.java,org.ministry.magic.servlet.MinistryStatusServlet,doGet,throws-declaration,IOException,propagate,,
src/main/java/org/ministry/magic/health/DatabaseHealthCheck.java,org.ministry.magic.health.DatabaseHealthCheck,check,throws-declaration,Exception,propagate,,
src/main/java/org/ministry/magic/resources/WizardImportResource.java,org.ministry.magic.resources.WizardImportResource,importWizards,throws-declaration,Exception,propagate,,
src/main/java/org/ministry/magic/resources/WizardReportResource.java,org.ministry.magic.resources.WizardReportResource,downloadReport,throws-declaration,IOException,propagate,,
src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,updateStatus,try-catch,IllegalArgumentException,wrap,,
src/main/java/org/ministry/magic/db/WizardMapper.java,org.ministry.magic.db.WizardMapper,map,throws-declaration,SQLException,propagate,,
src/main/java/org/ministry/magic/filter/AuditLogFilter.java,org.ministry.magic.filter.AuditLogFilter,doFilter,throws-declaration,"IOException, ServletException",propagate,,
src/main/java/org/ministry/magic/service/WizardAuthService.java,org.ministry.magic.service.WizardAuthService,hashPassword,try-catch,NoSuchAlgorithmException,wrap,,
src/main/java/org/ministry/magic/service/WizardService.java,org.ministry.magic.service.WizardService,findByHouse,try-catch,IllegalArgumentException,wrap,,
src/main/java/org/ministry/magic/service/WizardService.java,org.ministry.magic.service.WizardService,findByStatus,try-catch,IllegalArgumentException,wrap,,
src/main/java/org/ministry/magic/WizardRegistryApplication.java,org.ministry.magic.WizardRegistryApplication,main,throws-declaration,Exception,propagate,,
src/main/java/org/ministry/magic/WizardRegistryApplication.java,org.ministry.magic.WizardRegistryApplication,run,throws-declaration,Exception,propagate,,
